Class,Description,GroupValue,Renewal Prob,Number of Months from First Unlock
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,70000,0.293532,13.389831
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,75000,0.478873,13.25
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,80000,0.451515,14.107383
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,90000,0.448922,13.675095
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,100000,0.235669,12.297297
trunc_current_annual_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,150000,0.453478,13.525896
,,,,
outl_current_lifetime_benefit_maximum,Flag indicating the original value was outside the normal range.,0,0.288996,13.601818
outl_current_lifetime_benefit_maximum,Flag indicating the original value was outside the normal range.,1,0.4159,13.556567
,,,,
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,0,0.15502,13.626119
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,2000,0.201117,13.319444
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,2500,0.302632,14.043478
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,3000,0.234043,12.636364
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,3750,0.208333,12.6
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,4000,0.25,14.318182
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,5000,0.216679,13.61039
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,6000,0.234043,13.704545
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,7000,0.298387,13.324324
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,7500,0.145695,12.954545
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,8000,0.329341,13.927273
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,10000,0.279987,13.754623
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,12000,0.212838,13.746032
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,15000,0.285489,13.480181
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,16000,0.407407,15.077922
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,18000,0.273684,13.480769
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,19232,0.263158,13.5
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,19500,0.403846,14.571429
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,20000,0.307503,13.741888
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,25000,0.227766,13.00209
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,30000,0.364278,13.63171
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,35000,0.355992,13.346457
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,40000,0.371625,13.607754
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,44000,0.321586,13.479452
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,45000,0.397706,13.572115
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,50000,0.373542,13.742579
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,60000,0.357358,13.608237
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,70000,0.293532,13.389831
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,75000,0.384083,13.252252
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,80000,0.451515,14.107383
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,90000,0.448922,13.675095
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,100000,0.235669,12.297297
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,125000,0.2,12
trunc_current_lifetime_benefit_maximum,Numeric value with high-end capping to reduce the influence of extreme values.,150000,0.4159,13.556567
,,,,
outl_employee_age,Flag indicating the original value was outside the normal range.,0,0.293383,13.601798
outl_employee_age,Flag indicating the original value was outside the normal range.,1,0.113122,13.328
,,,,
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,18,0,
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,19,0,
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,20,0.076923,15
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,21,0.142857,12.25
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,22,0.125,12.875
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,23,0.089655,14
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,24,0.103343,13.529412
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,25,0.143836,13.107143
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,26,0.165029,13.589286
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,27,0.181995,13.75089
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,28,0.198433,13.471491
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,29,0.24443,13.569961
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,30,0.272332,13.862069
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,31,0.287236,13.736644
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,32,0.325173,13.642032
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,33,0.336317,13.828367
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,34,0.34288,13.601533
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,35,0.352372,13.604098
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,36,0.342776,13.71405
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,37,0.341615,13.646411
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,38,0.335766,13.538902
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,39,0.330084,13.533654
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,40,0.310657,13.438801
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,41,0.317949,13.30746
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,42,0.284414,13.308
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,43,0.281781,13.545603
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,44,0.252376,13.422594
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,45,0.246999,13.327366
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,46,0.231769,13.58567
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,47,0.209964,13.224576
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,48,0.199818,13.518182
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,49,0.180041,13.634286
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,50,0.179406,13.260355
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,51,0.170306,13.128205
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,52,0.145098,13.54955
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,53,0.147668,13.622807
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,54,0.163239,13.283465
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,55,0.124409,13.708861
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,56,0.138739,13.857143
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,57,0.13245,13.45
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,58,0.120735,13.282609
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,59,0.093458,12.4
trunc_employee_age,Numeric value with high-end capping to reduce the influence of extreme values.,60,0.113122,13.328
,,,,
outl_months_between_unlocks,Flag indicating the original value was outside the normal range.,0,0.288715,13.439789
outl_months_between_unlocks,Flag indicating the original value was outside the normal range.,1,1,26
,,,,
article_views_total,Total number of article views by the employee during the observation window.,0,0.242284,13.676364
article_views_total,Total number of article views by the employee during the observation window.,1,0.375589,13.715848
article_views_total,Total number of article views by the employee during the observation window.,2,0.425858,13.554992
article_views_total,Total number of article views by the employee during the observation window.,3,0.464655,13.491103
article_views_total,Total number of article views by the employee during the observation window.,4,0.508049,13.280101
article_views_total,Total number of article views by the employee during the observation window.,5,0.507642,13.212903
article_views_total,Total number of article views by the employee during the observation window.,6,0.525132,13.413098
article_views_total,Total number of article views by the employee during the observation window.,7,0.579505,13.353659
article_views_total,Total number of article views by the employee during the observation window.,8,0.577889,12.943478
article_views_total,Total number of article views by the employee during the observation window.,9,0.554286,12.984536
article_views_total,Total number of article views by the employee during the observation window.,10,0.586957,13.049383
article_views_total,Total number of article views by the employee during the observation window.,11,0.666667,13.266234
article_views_total,Total number of article views by the employee during the observation window.,12,0.604278,13.274336
article_views_total,Total number of article views by the employee during the observation window.,13,0.650685,13.305263
article_views_total,Total number of article views by the employee during the observation window.,14,0.703448,13.098039
article_views_total,Total number of article views by the employee during the observation window.,15,0.648148,13.342857
article_views_total,Total number of article views by the employee during the observation window.,16,0.636364,13.6
article_views_total,Total number of article views by the employee during the observation window.,17,0.662651,12.690909
article_views_total,Total number of article views by the employee during the observation window.,18,0.7125,13.368421
article_views_total,Total number of article views by the employee during the observation window.,19,0.661017,12.384615
article_views_total,Total number of article views by the employee during the observation window.,20,0.75,12.75
article_views_total,Total number of article views by the employee during the observation window.,21,0.711538,13.108108
article_views_total,Total number of article views by the employee during the observation window.,22,0.604167,12.758621
article_views_total,Total number of article views by the employee during the observation window.,23,0.59375,12.578947
article_views_total,Total number of article views by the employee during the observation window.,24,0.638889,13.391304
article_views_total,Total number of article views by the employee during the observation window.,25,0.714286,12.36
article_views_total,Total number of article views by the employee during the observation window.,26,0.666667,13.166667
article_views_total,Total number of article views by the employee during the observation window.,27,0.571429,12.4375
article_views_total,Total number of article views by the employee during the observation window.,28,0.695652,14.25
article_views_total,Total number of article views by the employee during the observation window.,29,0.615385,12.25
article_views_total,Total number of article views by the employee during the observation window.,30,0.631579,12.916667
article_views_total,Total number of article views by the employee during the observation window.,31,0.6875,12.090909
article_views_total,Total number of article views by the employee during the observation window.,32,0.576923,12.2
article_views_total,Total number of article views by the employee during the observation window.,33,0.916667,13.727273
article_views_total,Total number of article views by the employee during the observation window.,34,0.8,12
article_views_total,Total number of article views by the employee during the observation window.,35,0.545455,12.5
article_views_total,Total number of article views by the employee during the observation window.,36,0.857143,12.333333
article_views_total,Total number of article views by the employee during the observation window.,37,0.933333,12.357143
article_views_total,Total number of article views by the employee during the observation window.,38,0.8,11.875
article_views_total,Total number of article views by the employee during the observation window.,39,0.75,12.666667
article_views_total,Total number of article views by the employee during the observation window.,40,0.8,12.125
article_views_total,Total number of article views by the employee during the observation window.,41,0.75,12
article_views_total,Total number of article views by the employee during the observation window.,42,0.8,12
article_views_total,Total number of article views by the employee during the observation window.,43,0.75,11.666667
article_views_total,Total number of article views by the employee during the observation window.,44,0.75,12.333333
article_views_total,Total number of article views by the employee during the observation window.,45,0.5,12
article_views_total,Total number of article views by the employee during the observation window.,46,0.6,13.333333
article_views_total,Total number of article views by the employee during the observation window.,47,0.666667,12.5
article_views_total,Total number of article views by the employee during the observation window.,48,0.5,12
article_views_total,Total number of article views by the employee during the observation window.,49,0.75,13
article_views_total,Total number of article views by the employee during the observation window.,50,0.5,12
article_views_total,Total number of article views by the employee during the observation window.,51,0.666667,17.5
article_views_total,Total number of article views by the employee during the observation window.,53,0.5,12
article_views_total,Total number of article views by the employee during the observation window.,54,1,12
article_views_total,Total number of article views by the employee during the observation window.,55,0.666667,12.5
article_views_total,Total number of article views by the employee during the observation window.,56,0,
article_views_total,Total number of article views by the employee during the observation window.,57,1,12.25
article_views_total,Total number of article views by the employee during the observation window.,58,1,16
article_views_total,Total number of article views by the employee during the observation window.,59,0.75,12
article_views_total,Total number of article views by the employee during the observation window.,60,1,12
article_views_total,Total number of article views by the employee during the observation window.,61,0,
article_views_total,Total number of article views by the employee during the observation window.,62,0.75,12
article_views_total,Total number of article views by the employee during the observation window.,63,1,12
article_views_total,Total number of article views by the employee during the observation window.,64,1,12
article_views_total,Total number of article views by the employee during the observation window.,65,1,13.5
article_views_total,Total number of article views by the employee during the observation window.,66,1,13
article_views_total,Total number of article views by the employee during the observation window.,67,1,13
article_views_total,Total number of article views by the employee during the observation window.,68,0.5,12
article_views_total,Total number of article views by the employee during the observation window.,69,0.666667,12.5
article_views_total,Total number of article views by the employee during the observation window.,71,1,12
article_views_total,Total number of article views by the employee during the observation window.,72,0.666667,12
article_views_total,Total number of article views by the employee during the observation window.,73,1,13.5
article_views_total,Total number of article views by the employee during the observation window.,74,1,12
article_views_total,Total number of article views by the employee during the observation window.,75,1,12
article_views_total,Total number of article views by the employee during the observation window.,77,0,
article_views_total,Total number of article views by the employee during the observation window.,78,1,12
article_views_total,Total number of article views by the employee during the observation window.,79,0.5,12
article_views_total,Total number of article views by the employee during the observation window.,80,1,12
article_views_total,Total number of article views by the employee during the observation window.,84,0,
article_views_total,Total number of article views by the employee during the observation window.,87,1,17.5
article_views_total,Total number of article views by the employee during the observation window.,88,1,12
